RX 3 GAIN -6 DEC 4
TX 3 GAIN 0 INT 4
15, 15
-27, -27
-23, -23
-6, -6
17, 17
33, 33
31, 31
9, 9
-23, -23
-47, -47
-45, -45
-13, -13
34, 34
69, 69
67, 67
21, 21
-49, -49
-102, -102
-99, -99
-32, -32
69, 69
146, 146
143, 143
48, 48
-96, -96
-204, -204
-200, -200
-69, -69
129, 129
278, 278
275, 275
97, 97
-170, -170
-372, -372
-371, -371
-135, -135
222, 222
494, 494
497, 497
187, 187
-288, -288
-654, -654
-665, -665
-258, -258
376, 376
875, 875
902, 902
363, 363
-500, -500
-1201, -1201
-1265, -1265
-530, -530
699, 699
1748, 1748
1906, 1906
845, 845
-1089, -1089
-2922, -2922
-3424, -3424
-1697, -1697
2326, 2326
7714, 7714
12821, 12821
15921, 15921
15921, 15921
12821, 12821
7714, 7714
2326, 2326
-1697, -1697
-3424, -3424
-2922, -2922
-1089, -1089
845, 845
1906, 1906
1748, 1748
699, 699
-530, -530
-1265, -1265
-1201, -1201
-500, -500
363, 363
902, 902
875, 875
376, 376
-258, -258
-665, -665
-654, -654
-288, -288
187, 187
497, 497
494, 494
222, 222
-135, -135
-371, -371
-372, -372
-170, -170
97, 97
275, 275
278, 278
129, 129
-69, -69
-200, -200
-204, -204
-96, -96
48, 48
143, 143
146, 146
69, 69
-32, -32
-99, -99
-102, -102
-49, -49
21, 21
67, 67
69, 69
34, 34
-13, -13
-45, -45
-47, -47
-23, -23
9, 9
31, 31
33, 33
17, 17
-6, -6
-23, -23
-27, -27
-15, -15
